"who","color","heading","xcor","ycor","in.bounds.","adaptive.","this.district.act","pref.d1","pref.d2","pref.d3","this.act.sal.d1","this.act.sal.d2","this.act.sal.d3"
"2427","0","49","3.079720734","13.67368472","TRUE","TRUE","13","3.079720734058893","13.673684715605383","0.06867478662824755","0.3317059908581058","0.6682940091229042","1.8990125506074732E-11"
"2428","0","161","-18.47179909","0.855520405","TRUE","FALSE","14","-18.471799094449775","0.8555204052782335","-0.07782121292683875","0.5990372116011334","0.39693225858846376","0.004030529810402883"
"2429","105","291","-16.14530008","-8.085070904","TRUE","TRUE","14","-16.145300083763065","-8.085070904013241","15.349210688796159","0.6248199026855845","0.3739429846963286","0.0012371126180868212"
"2430","0","64","-10.53419918","7.428336646","TRUE","TRUE","14","-10.534199175125114","7.428336646062267","-1.921905520263976","0.3132125667092092","0.6548501744497727","0.03193725884101805"
"2431","0","226","-12.13932773","1.711078611","TRUE","FALSE","14","-12.13932772958956","1.7110786112747443","6.158345235892053","0.292688076139489","0.6454182002266482","0.061893723633862835"
"2432","0","82","-2.552158604","10.17032366","TRUE","TRUE","14","-2.5521586036558226","10.170323659818251","7.049789509903988","0.8380464148955077","0.16184399509313854","1.0959001135385281E-4"
"2433","0","24","-27.38652451","-2.633164819","TRUE","TRUE","14","-27.38652450824945","-2.633164819474534","8.109654194338212","0.32988495336387547","0.6205322989076827","0.049582747728442"
"2434","105","189","-8.410365401","2.075761828","TRUE","TRUE","14","-8.410365401036195","2.0757618277795764","-3.2979299777718265","0.947287584726867","0.0501758134095849","0.0025366018635481296"
"2435","105","154","-15.50709769","-2.960727197","TRUE","TRUE","14","-15.507097685125613","-2.9607271973933176","10.901218370564642","0.4034248758779997","0.4485500033314919","0.14802512079050834"
"2436","105","175","-11.24029626","7.776003782","TRUE","TRUE","14","-11.240296261100752","7.776003782234678","1.9710047930042878","0.30968411644120275","0.6648515828589403","0.025464300699856914"
"2437","0","255","-14.49030094","-0.952092357","TRUE","TRUE","14","-14.490300944796884","-0.9520923568739419","-1.2880246059682443","0.5548593849189839","0.44514052001566173","9.506535435472294E-8"
"2438","0","202","-7.192280647","-2.085707853","TRUE","TRUE","15","-7.192280646813767","-2.08570785270041","3.7911506762458176","0.28204797256695024","0.505867764099274","0.2120842633337757"
"2439","15","324","4.179576148","-8.930739222","TRUE","TRUE","15","4.179576148215148","-8.930739222458877","-4.135201136031232","0.41324058859010543","0.4091773611953545","0.17758205021453996"
